kodea,Udalerria,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
1036,Laudio/Llodio,29.49,21.9,28.48,29.41,27.94,29.95,29.68,24.49,28.09,31.03,29.56,30.7,25.98,35.61,36.66
48053,Laukiz,27,27.85,36.97,45.73,37.75,14.86,23.6,34.7,26.46,17.53,32.13,29.35,33.57,26.5,10.15
20049,Lazkao,21.08,25.77,36.56,24.35,24.11,33.94,22.14,23.24,18.87,26.32,19.83,26.73,16.8,12.77,14.61
20050,Leaburu,32.97,24.73,19.13,5.39,43.48,49.48,18.23,25.71,30.69,56.99,41.45,39.47,10.81,16.35,10.75
20051,Legazpi,17.14,23.28,21.64,24.05,20.29,21.13,18.82,16.21,17.9,16.04,15,15.44,8.22,8.65,10.34
20052,Legorreta,26.43,50.07,47.85,48.11,41.89,50.5,40.53,53.61,54.18,61.63,38.09,32.24,28.67,39.44,32.19
1058,Legutio,49.04,46.79,75.06,57.31,49.83,63.58,67.05,58.65,62.04,73.31,69.55,74.1,60.34,62.88,70.3
20068,Leintz-Gatzaga,12.88,38.63,37.82,8.23,19.92,22.73,30.3,26.22,45.45,27.24,46.69,19.69,66.93,20.08,24.19
48054,Leioa,27.43,25.11,25.11,28.11,26.68,25.51,27.77,30.24,29.47,31.65,30.59,27.68,28.23,27.82,28.73
48057,Lekeitio,35.39,38.31,30.81,31.1,22.07,24.82,24.01,17.38,34.33,23.91,21.23,16.05,16.99,15.21,16.1
48055,Lemoa,37.69,38.54,41.26,50.44,66.4,73.55,67.96,63.91,63.28,64.45,55.9,50.81,41.08,45.16,40.65
48056,Lemoiz,30.87,27.62,34.51,47.54,59.48,39.51,52.68,59.05,41.91,53.41,48.47,44.28,47.97,55.62,31.18
1034,Leza,33.65,14.42,65.42,80.19,33.33,27.78,69.44,26.67,51.95,65.79,52.63,35.4,35.4,26.67,65.12
48081,Lezama,42.64,43.9,27.5,33.07,29.92,34.84,37.65,44.64,38.26,33.37,25.96,31.49,32.76,22.62,30.87
20053,Lezo,28.7,28.03,38.33,38.51,33.83,23.22,26.21,30.96,38.86,31.2,24.36,28.04,17.71,27.72,25.31
20054,Lizartza,10,18.33,6.53,15.82,15.65,18.55,20.09,19.91,16.9,25.85,33.93,16.5,14.8,32.95,11.69
48903,Loiu,99.53,93.18,94.7,94.14,98.11,81.36,93.39,95.37,102.24,117.84,146.95,137.44,142.99,119.6,126.33
48058,Mallabia,40.14,38.43,59.46,79.97,67.66,50.29,72.09,51.48,43.22,64.27,57.41,60.05,60.85,42,56.65
48060,Markina-Xemein,20.06,22.27,19.32,25.32,22.88,23.35,21.54,32.06,37.18,26.16,33.54,21.18,15.11,18.17,20.07
48061,Maruri-Jatabe,35.38,31.22,28.27,34.74,32.73,34.08,29.82,52.98,55.74,62.28,34.08,26.04,43.64,18.99,34.57
48059,Ma–aria,24.81,9.54,20.95,30.95,44.92,33.33,35.29,31.01,25.59,46.41,29.54,23.61,28.32,26.37,17.7
20901,Mendaro,19.78,27.7,18.73,30.32,22.61,23.64,28.78,27.17,35.21,25.28,19.1,21.11,27.91,17.76,19.34
48062,Mendata,17.81,17.81,28.5,31.58,45.45,42.11,36.84,46.63,49.22,26.88,21.51,21.39,27.78,8.7,23.32
48063,Mendexa,43.86,50.44,38.96,63.18,37.95,66.06,61.5,112.64,89.86,55.69,58.11,61.58,102.83,53.91,53.37
48064,Me–aka,13.4,13.4,42.01,17.57,16.11,14.86,25.68,16.81,26.09,25.95,7.63,23.44,16.42,15.68,21.86
1039,Moreda de çlava / Moreda Araba,26.09,26.09,8.66,17.02,42.19,64.52,32.26,16.06,43.14,25.83,18.45,21.82,32.49,25.18,10.79
48066,Morga,42.65,68.72,42.96,31.1,23.7,51.34,70.9,72.29,36.23,42.82,17.63,37.5,17.28,24.27,19
48068,Mundaka,38.01,49.79,35.56,39.62,44.48,43.3,47.42,41.77,43.9,63.41,41.38,48.69,34.3,41.62,45.06
48069,Mungia,32.64,24.68,30.32,35.8,32.75,38.57,50.22,48.46,47.1,44.48,46.53,42.88,45.75,38.12,44.2
48007,Munitibar-Arbatzegi Gerrikaitz-,34.48,15.09,41.21,27.96,15.09,50.81,20.79,47.51,24.15,41.24,25.77,21,21.11,13.12,13.02
48908,Murueta,51.61,64.52,58.06,67.52,25.72,42.62,101.64,84.42,55.02,39.09,32.57,46.05,44.52,28.07,32.49
48071,Muskiz,49.33,41.55,50.05,65.2,91.65,89.77,85.35,62.96,69.15,54.87,49.32,47.16,43.63,43.98,37.81
20057,Mutiloa,35.57,7.91,38.31,15.15,35.02,40,32,12.15,33.06,26.43,13.22,14.35,32.61,0,18.99
20056,Mutriku,21.86,23.54,22.93,34.89,24.53,24.28,23.89,22.89,21,16.39,21.65,18.95,19.06,18.1,14.49
48067,Muxika,34.46,41.49,39.5,48.38,38.62,43.45,44.13,53.67,55.1,48.12,33.26,48.71,51.03,38.67,29.32
48909,Nabarniz,3.85,11.54,40.32,21.01,8.47,25.86,64.66,25.53,12.88,13.16,65.79,35.24,13.27,4.35,13.1
1041,Navaridas,13.27,0,30.57,35.87,59.36,32.26,36.87,42.45,42.86,36.53,31.96,4.65,9.48,14.35,24.04
20063,Oiartzun,53.21,53.11,62.19,68.89,56.1,56.83,65.92,60.24,57.05,55.67,48.04,53.27,50.72,46.99,50.11
1042,Okondo,14.62,17.2,28.35,34.57,33.8,29.41,25.95,27.29,39.02,28.04,23.36,35.31,29.3,21.78,35.57
20058,Olaberria,48.68,52.91,57.63,77.25,61.05,71.35,82,85.9,59.5,87.18,54.62,70.04,47.88,69.72,41.8
48073,Ondarroa,23.1,20.62,27.38,20.7,27.92,22.84,24.99,25.07,22.84,25.91,20.71,21.58,17.1,15.83,19.89
20076,Ordizia,28.78,39.55,43.81,36.84,44.05,37.29,38.62,44.76,38.17,29.01,26.08,20.73,28.33,20.83,28.29
20905,Orendain,43.9,34.15,40.61,15.54,20.73,21.74,38.04,31.75,10.7,22.47,11.24,40.46,5.95,0,12.35
20060,Orexa,7.94,23.81,0,8,16.26,32.52,8.13,16.26,8.2,8.47,0,28.3,0,22.99,35.71
20061,Orio,28.19,19.99,23.51,33.22,21.57,21.03,26.1,28.41,33.81,22.02,17.94,23.49,19.28,18.21,19.37
20062,Ormaiztegi,22.81,31.94,51.91,62.07,38.2,55.64,53.35,45.45,37.85,49.81,22.22,36.58,39.71,24.88,23.81
48075,Orozko,31.06,25.76,32.2,45.58,36.75,42.8,37.6,33.77,34.07,35.12,37.24,28.63,25.01,28.02,17.9
48083,Ortuella,32.6,40.13,41.22,35.78,42.12,38.98,36.72,36.68,37.86,36.88,37.35,32.1,40.41,28.14,31.59
48072,Otxandio,18.53,32.43,17.13,27.24,20.09,24.81,36.43,20.42,30.38,32.47,8.33,11.35,17.53,14.29,12.58
1043,Oy—n-Oion,27.01,30.91,23.17,35.96,39.22,36.72,34.9,28.79,37.21,40.22,37.93,26.58,26.41,31.97,27.85
